code_culture;libelle_culture;categorie_surf_agricole;categorie_ecoregime;num_chapitre;nom_chapitre
AAR;Plantes aromatiques herbacées non pérennes (< 5 ans) autres que persil;TA;TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
ACP;Autre culture pérenne et jachère dans les bananeraies;CP;CP;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
AFG;Autre plante fourragère annuelle (ni légumineuse, ni graminée, ni céréale, ni oléagineux);TA;TA – Autres cultures;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
AGR;Agrume;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
AIL;Ail;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
AME;Plantes médicinales et à parfum non pérennes (< 5 ans);TA;TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
ANA;Ananas;TA;sans objet;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
ARA;Arachide;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
ARP;Plante aromatique pérenne non arbustive ou arborée autre que la vanille;CP;CP gérée comme une TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
ART;Artichaut;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
AVH;Avoine d'hiver;TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
AVP;Avoine de printemps;TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
BCA;Banane (hors export);CP;sans objet;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
BDH;Blé dur d'hiver;TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
BDP;Blé dur de printemps;TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
BEF;Banane (export);CP;sans objet;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
BFS;Bordure le long des forêts sans production;Selon la catégorie de la parcelle associée;Selon la catégorie de la parcelle associée;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
BOR;Bordure de champ;Selon la catégorie de la parcelle associée;Selon la catégorie de la parcelle associée;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
BTA;Bande tampon;Selon la catégorie de la parcelle associée;Selon la catégorie de la parcelle associée;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
BTH;Blé tendre d'hiver;TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
BTN;Betterave;TA;TA – Plantes sarclées;1.7;CULTURES INDUSTRIELLES ET PLANTES SARCLÉES
BTP;Blé tendre de printemps;TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
CAC;Café et cacao;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
CAE;Châtaigneraie entretenue par des porcins ou des petits ruminants. Attention : code mobilisable uniquement en corse et petite région des causses cévenols et méridionaux;PP;PP;1.6;PRAIRIES OU PÂTURAGES PERMANENTS
CAG;Autre céréale ou pseudo-céréale secondaire de printemps (alpiste, quinoa, chia, …);TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
CAH;Autre céréale ou pseudo-céréale secondaire d'hiver;TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
CAR;Carotte;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
CBT;Cerise;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
CCN;Concombre, cornichon et courgette;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
CEE;Chênaie entretenue par des porcins ou des petits ruminants. Attention : code mobilisable uniquement en corse et petite région des causses cévenols et méridionaux;PP;PP;1.6;PRAIRIES OU PÂTURAGES PERMANENTS
CEL;Céleri;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
CHU;Chou;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
CHV;Chanvre;TA;TA – Autres cultures;1.7;CULTURES INDUSTRIELLES ET PLANTES SARCLÉES
CID;Cultures conduites en inter-rangs (bandes de cultures différentes) - 2 cultures représentant chacune plus de 25 %;TA/CP;Selon les cultures présentes;1.4;CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAITIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES
CIT;Cultures conduites en inter-rangs (bandes de cultures différentes) - 3 cultures représentant chacune plus de 25 %;TA/CP;Selon les cultures présentes;1.4;CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAITIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES
CML;Cameline;TA;TA – Oléagineux de printemps;1.2;OLÉAGINEUX
CPL;Mélange multi-espèces (céréales, oléagineux, légumineuses, …) sans graminées prairiales et sans prédominance de légumineuses;TA;TA – Autres cultures;1.4;CULTURES ASSOCIÉES : MÉLANGE MULTI-ESPECES SANS GRAMINÉES PRAITIALES, CULTURES INTER-RANGS ET AUTRES PRODUCTIONS ASSOCIÉES
CSA;Canne à sucre;CP;sans objet;1.7;CULTURES INDUSTRIELLES ET PLANTES SARCLÉES
CSS;Cultures sous serre hors sol;NA;sans objet;1.12;DIVERS – SURFACES NON ADMISSIBLES AUX AIDES 1er PILIER
CTG;Châtaigne;CP;CP;1.9;ARBORICULTURE FRUITIÈRE ET VITICULTURE, PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES (PPAM) ARBUSTIVES ET ARBORÉES
CZH;Colza d'hiver;TA;TA – Oléagineux d’hiver;1.2;OLÉAGINEUX
CZP;Colza de printemps;TA;TA – Oléagineux de printemps;1.2;OLÉAGINEUX
EPE;Épeautre (petit épeautre ou engrain et grand épeautre);TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
EPI;Epinard, oseille et bette;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
FEV;Fève;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
FLA;Autre légume ou fruit annuel;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
FLP;Autre légume ou fruit pérenne (hors petits fruits à baie);CP;CP gérée comme une TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
FNU;Fenugrec;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
FRA;Fraise (en pleine terre);TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
